Product Name,Manufacturer,Category / Use,Signal Word,GHS Hazard Codes,Precautionary (P) Codes,DOT / UN,Appearance / Odor,pH,Specific Gravity,Flash Point,Boiling Point,Solubility,Dilution,Coverage (sq ft/gal),Spec File,Notes,SDS File
EBC Australia,Enviro Bio Cleaner,,,H290; H302; H314; H315; H335; H402,P102; P103; P261; P273; P280; P303; P305; P312; P313; P330; P331; P332; P338; P351; P353; P361; P362; P391,,"Clear to cloudy liquidFlammability:product is not flammableMelting Point:NABoiling Point:100Â°C  Flash Point:NAVapour Pressure:unknown  Vapour Densityunknown  pH12-13  Specific  Gravity:1.02-1.05 @ 20Â°C Solubility in waterInfinitely dilutableSECTION 10 STABILITY AND REACTIVITYChemical Reactivity Stable under normal conditions of use. Chemical stabilityStable under normal conditions of use. Conditions to avoidNo additional remark. Incompatible materialsOxidising agents  (Class 5), strong acids (Class 8).Hazardous decomposition productsOxides of carbon  (COX)  and corrosive sodium oxide vapours may be generated.Hazardous reactionsNo dangerous reaction known under conditions of normal use.SECTION 11 TOXICOLOGICAL INFORMATIONNo adverse health effects expected if the product is handled in accordance with this Safety Data Sheet and the product label. Symptoms or effects that may arise if the product is mishandled and overexposure occurs are:SYMPTOMS OF EXPOSURESwallowed:Ingestion of large amounts may result in abdominal pain, nausea or vomiting, irritation of the gastrointestinal  tract.Eye:A moderate to severe irritant, causing pain, redness, and tearing.Skin:Irritant to the skin. However repeated or prolonged contact may result in irritation or dermatitis in some individuals.Inhalation:Vapour is irritant to mucous membranes and respiratory tract.Enviro Bio Cleaner PH: +1 (707) 759 2244. Distributed by Softwash Australia 4/10 Green Glen Road, Ashmore, QLD, 4214 Ph: +61 400210646 Review Date: 21 September 2020 Print Date:23 September, 2020",,1.02,NAVapour Pressure:unknown Vapour Densityunknown pH12-13 Specific,"100Â°C  Flash Point:NAVapour Pressure:unknown  Vapour Densityunknown  pH12-13  Specific  Gravity:1.02-1.05 @ 20Â°C Solubility in waterInfinitely dilutableSECTION 10 STABILITY AND REACTIVITYChemical Reactivity Stable under normal conditions of use. Chemical stabilityStable under normal conditions of use. Conditions to avoidNo additional remark. Incompatible materialsOxidising agents  (Class 5), strong acids (Class 8).Hazardous decomposition productsOxides of carbon  (COX)  and corrosive sodium oxide vapours may be generated.Hazardous reactionsNo dangerous reaction known under conditions of normal use.SECTION 11 TOXICOLOGICAL INFORMATIONNo adverse health effects expected if the product is handled in accordance with this Safety Data Sheet and the product label. Symptoms or effects that may arise if the product is mishandled and overexposure occurs are:SYMPTOMS OF EXPOSURESwallowed:Ingestion of large amounts may result in abdominal pain, nausea or vomiting, irritation of the gastrointestinal  tract.Eye:A moderate to severe irritant, causing pain, redness, and tearing.Skin:Irritant to the skin. However repeated or prolonged contact may result in irritation or dermatitis in some individuals.Inhalation:Vapour is irritant to mucous membranes and respiratory tract.Enviro Bio Cleaner PH: +1 (707) 759 2244. Distributed by Softwash Australia 4/10 Green Glen Road, Ashmore, QLD, 4214 Ph: +61 400210646 Review Date: 21 September 2020 Print Date:23 September, 2020","in waterInfinitely dilutableSECTION 10 STABILITY AND REACTIVITYChemical Reactivity Stable under normal conditions of use. Chemical stabilityStable under normal conditions of use. Conditions to avoidNo additional remark. Incompatible materialsOxidising agents  (Class 5), strong acids (Class 8).Hazardous decomposition productsOxides of carbon  (COX)  and corrosive sodium oxide vapours may be generated.Hazardous reactionsNo dangerous reaction known under conditions of normal use.SECTION 11 TOXICOLOGICAL INFORMATIONNo adverse health effects expected if the product is handled in accordance with this Safety Data Sheet and the product label. Symptoms or effects that may arise if the product is mishandled and overexposure occurs are:SYMPTOMS OF EXPOSURESwallowed:Ingestion of large amounts may result in abdominal pain, nausea or vomiting, irritation of the gastrointestinal  tract.Eye:A moderate to severe irritant, causing pain, redness, and tearing.Skin:Irritant to the skin. However repeated or prolonged contact may result in irritation or dermatitis in some individuals.Inhalation:Vapour is irritant to mucous membranes and respiratory tract.Enviro Bio Cleaner PH: +1 (707) 759 2244. Distributed by Softwash Australia 4/10 Green Glen Road, Ashmore, QLD, 4214 Ph: +61 400210646 Review Date: 21 September 2020 Print Date:23 September, 2020",,,,FR SDS available.,SDS/Envirobiocleaner/EBC_Australia_SDS.pdf
IDENTITY: ENVIRO BIO CLEANER GLIDE,Enviro Bio Cleaner,,,,,,Blue liquid detergent odor.  Odor optional,1,,(Method Used): None Flammable Limits:,212 deg. F    Specific Gravity.(H2O=1)   >1,in water...... Complete    (Butyl Acetate=1),,,,FR SDS available.,SDS/Envirobiocleaner/SDS_glide-window-cleaning-soap.pdf
Hand Sanitizer Non-Sterile Solution,Enviro Bio Cleaner,,WARNING,H225; H319; H335; H336,P210; P233; P240; P242; P243; P304; P305; P312; P313; P337; P338; P340; P351; P370; P378; P403; P405,"UN1987, Class 3, PG II",,7,0.875,No data available,/Boiling Range  No data  available,Not determined,,,,FR SDS available.,SDS/Envirobiocleaner/SDS_hand-sanitizer.pdf
Enviro Bio Cleaner,Enviro Bio Cleaner,,DANGER,,,,Characteristic Clean,12,1.05,â‰¥ 200 Â°F,212 - 220 Â°F,Soluble in water.  :,,,,FR SDS available.,SDS/Envirobiocleaner/SDS_multipurpose-cleaner.pdf
Enviro Bio Cleaner Restorer,Enviro Bio Cleaner,"Restoration cleaner; acid replacement for rust, efflorescence, mineral deposits, concrete brightening",DANGER,,,Nonâ€‘regulated (Hazmat DOT classification),Sligh t odor,,,Not determin ed,Not determin ed,Complete,Heavy 1:5; Moderate 1:10; Light 1:20; Rust up to 1:1,,,FR SDS available.,SDS/Envirobiocleaner/EBC-Restore-SDS-September-2020-1.pdf
BARCProduct Number:Brand: Front 9 Restoration,Front 9 Restoration,,DANGER,H301; H318; H331,P234; P316; P330; P331; P338; P340; P351; P353; P378,"UN1760, DOT Proper shipping name: : Corrosive Liquid, n.o.s. Department of Transportation (DOT) Hazard: 8 - Class 8 - Corrosive material 49 CFR 173.136 ClassesHazard labels (DOT)Packing group (DOT): III - Low DangerDOT Special Provisions (49 CFR 172.102): B2 - MC 300, MC 301, MC 302, MC 303, MC 305, and MC 306 and DOT 406 cargo tanks are not authorized.: B47 - Each tank may have a reclosing pressure relief device having a start-to-discharge pressure setting of 310 kPa (45 psig).: IP15 - For UN1760 rigid plastic IBCs and composite IBCs with a rigid plastic inner receptacle are authorized for two years from the date of IBC manufacture.: T8 - 4 178.274(d)(2) Normal............. Prohibited: TP2 - a. The maximum degree of filling must not exceed the degree of filling determined by the following: (image) Where: tr is the maximum mean bulk temperature during transport, tf is the temperature in degrees celsius of the liquid during filling, and is the mean coefficient of cubical expansion of the liquid between the mean temperature of the liquid during filling (tf) and the maximum mean bulk temperature during transportation (tr) both in degrees celsius. b. For liquids transported under ambient conditions may be calculated using the formula: (image) Where: d15 and d50 are the densities (in units of mass per unit volume) of the liquid at 15 C (59 F) and 50 C (122 F), respectively.DOT Packaging Exceptions (49 CFR 173.xxx): Can ship Limited Quantity per 49 CFR 173.156DOT Packaging Non Bulk (49 CFR 173.xxx): 158DOT Packaging Bulk (49 CFR 173.xxx): 242Additional InformationOther Information: No supplementary information available.State during transport (ADR-RID): As liquid.Overland transportPacking group (ADR): III","LiquidMolecular mass: Not AvailableColor: Colorless-water white. On exposure to light may turn yellow. / Irritating/pungent odor. Asphyxiating odorpH: 3.3-3.8pH solution: 6%Relative evaporation rate (butylacetate=1): No data availableMelting point: No data availableFreezing point: No data availableBoiling point: 83 - 122 Â°CFlash point: Not applicableSelf Ignition temperature: No data availableDecomposition temperature: No data availableFlammability (solid, gas): No data availableVapor pressure: No data availableRelative vapour density at 20 Â°C: No data availableRelative Density: 1.66-1.7Relative density of saturated gas/air misture: No data availableDensity: 1660 â€“ 1700 kg/m3Water Solubility: Water: CompleteViscosity, dynamic: 2.3 mPa.s at 15 Â°C (59 Â°F) Other informationSaturation concentration: 10 g/m3VOC content: Not applicableOther properties: Gas/vapor heavier than air at 20Â°C. Hygroscopic. Producing fumes/mist. Physical properties depending on the concentration. Substance has acid reaction.10. STABILITY AND REACTIVITYReactivityConcentrated solution reacts exothermically with water (moisture). Decomposes on exposure to temperature rise: release of toxic and corrosive gases/vapors (nitrous vapors), ammonia, hydrogen fluoride, and nitrogen oxides. Violent to explosive reaction with many compounds e.g.: with (strong) reducers, with (some) bases, with organic material and with combustible materials with risk of spontaneous ignition. Reacts violently with (some) metals. Decomposes slowly on exposure to light: release of toxic and corrosive gases/vapors (nitrous vapors). Violent to explosive reaction with (some) metal powders: release of highly flammable gases/vapors (hydrogen).Chemical StabilityUnstable on exposure to light. Hygroscopic.Possiblilty of hazardous reactionsMay react violently with reducing agents.Conditions to avoidDirect sunlight. Incompatible materials.Incompatible materialsStrong bases. Strong reducing agents. Organic compounds. Cyanides. Combustible materials. Aldehydes. Ammonia. Metals. Alcohols.",3,1.66,Not applicableSelf Ignition temperature: No data availableDecomposition temperature: No data,"83 - 122 Â°CFlash point: Not applicableSelf Ignition temperature: No data availableDecomposition temperature: No data availableFlammability (solid, gas): No data availableVapor pressure: No data availableRelative vapour density at 20 Â°C: No data availableRelative Density: 1.66-1.7Relative density of saturated gas/air misture: No data availableDensity: 1660 â€“ 1700 kg/m3Water Solubility: Water: CompleteViscosity, dynamic: 2.3 mPa.s at 15 Â°C (59 Â°F) Other informationSaturation concentration: 10 g/m3VOC content: Not applicableOther properties: Gas/vapor heavier than air at 20Â°C. Hygroscopic. Producing fumes/mist. Physical properties depending on the concentration. Substance has acid reaction.10. STABILITY AND REACTIVITYReactivityConcentrated solution reacts exothermically with water (moisture). Decomposes on exposure to temperature rise: release of toxic and corrosive gases/vapors (nitrous vapors), ammonia, hydrogen fluoride, and nitrogen oxides. Violent to explosive reaction with many compounds e.g.: with (strong) reducers, with (some) bases, with organic material and with combustible materials with risk of spontaneous ignition. Reacts violently with (some) metals. Decomposes slowly on exposure to light: release of toxic and corrosive gases/vapors (nitrous vapors). Violent to explosive reaction with (some) metal powders: release of highly flammable gases/vapors (hydrogen).Chemical StabilityUnstable on exposure to light. Hygroscopic.Possiblilty of hazardous reactionsMay react violently with reducing agents.Conditions to avoidDirect sunlight. Incompatible materials.Incompatible materialsStrong bases. Strong reducing agents. Organic compounds. Cyanides. Combustible materials. Aldehydes. Ammonia. Metals. Alcohols.","Water: CompleteViscosity, dynamic: 2.3 mPa.s at 15 Â°C (59 Â°F) Other informationSaturation concentration: 10 g/m3VOC content: Not applicableOther properties: Gas/vapor heavier than air at 20Â°C. Hygroscopic. Producing fumes/mist. Physical properties depending on the concentration. Substance has acid reaction.10. STABILITY AND REACTIVITYReactivityConcentrated solution reacts exothermically with water (moisture). Decomposes on exposure to temperature rise: release of toxic and corrosive gases/vapors (nitrous vapors), ammonia, hydrogen fluoride, and nitrogen oxides. Violent to explosive reaction with many compounds e.g.: with (strong) reducers, with (some) bases, with organic material and with combustible materials with risk of spontaneous ignition. Reacts violently with (some) metals. Decomposes slowly on exposure to light: release of toxic and corrosive gases/vapors (nitrous vapors). Violent to explosive reaction with (some) metal powders: release of highly flammable gases/vapors (hydrogen).Chemical StabilityUnstable on exposure to light. Hygroscopic.Possiblilty of hazardous reactionsMay react violently with reducing agents.Conditions to avoidDirect sunlight. Incompatible materials.Incompatible materialsStrong bases. Strong reducing agents. Organic compounds. Cyanides. Combustible materials. Aldehydes. Ammonia. Metals. Alcohols.",,,,FR SDS available.,SDS/Front9restoration/SDS-F9-BARC-2022.pdf
DOUBLE EAGLEProduct Number:JAR-030,Front 9 Restoration,,,,,,,,,"Not determinedEvaporation RateNot determinedFlammability (Solid, Gas)Not determinedFlammability Limits in AirUpper","Not determinedFlash pointNot determinedEvaporation RateNot determinedFlammability (Solid, Gas)Not determinedFlammability Limits in AirUpper explosion limitNot determinedLower explosion limitNot determinedVapor pressureNot determinedVapor DensityNot determinedWater SolubilityNot determinedSolubility in other solventsNot determinedPartition CoefficientNot determinedAuto-ignition TemperatureNot determinedDocomposition TemperatureNot determinedKinectic ViscosityNot determinedDynamic ViscosityNot determinedExplosive PropertiesNot determinedOxiding PropertiesNot determined10. STABILITY AND REACTIVITYReactivityNot reactive under normal conditions Chemical stabilityStable under recommended storage conditionsPossibilty of Hazardous ReactionsNone under normal processing.Conditions to avoidKeep out of reach of children. Incompatible Materials None known based on information supplied.Hazardous decomposition productsNone known based on information supplied.",Not determinedSolubility in other solventsNot determinedPartition CoefficientNot determinedAuto-ignition TemperatureNot determinedDocomposition TemperatureNot determinedKinectic ViscosityNot determinedDynamic ViscosityNot determinedExplosive PropertiesNot determinedOxiding PropertiesNot determined10. STABILITY AND REACTIVITYReactivityNot reactive under normal conditions Chemical stabilityStable under recommended storage conditionsPossibilty of Hazardous ReactionsNone under normal processing.Conditions to avoidKeep out of reach of children. Incompatible Materials None known based on information supplied.Hazardous decomposition productsNone known based on information supplied.,,,,FR SDS available.,SDS/Front9restoration/SDS-F9-Double-Eagle-2022.pdf
EFFLORESCENCEProduct Number:Brand: Front 9 Restoration,Front 9 Restoration,,,,P303; P330; P351; P361,,,,,not applicableIgnition temperatureno data availableLower explosion limitno data availableUpper explosion,"110Â° C (230Â° f)Flash pointnot applicableIgnition temperatureno data availableLower explosion limitno data availableUpper explosion limitno data availableVapor pressure227 hPa (170 mmHg) at 21.1 Â°C (70.0 Â°F)547 hPa (410 mmHg) at 37.7 Â°C (99.9 Â°F)Density1.2 g/cm3 at 25 Â°C (77 Â°F) Water SolubilitySolubleViscosity, dynamic2.3 mPa.s at 15 Â°C (59 Â°F) 10. STABILITY AND REACTIVITYChemical stabilityStable under recommended storage conditionsConditions to avoidNo data availableMaterials to avoidBases, Amines, Alkali metals, Metals, permanganates, e.g. potassium permanganate, Fluorine, metal acetylides, hexalithium disilicideHazardous decomposition productsHazardous decomposition products formed under fire conditions. - Hydrogen chloride gas 11. TOXICOLOGICAL INFORMATIONAcute ToxicityLD50 Oral - rabbit - 900 mg/kg (Hydrochloric acid)LC50 Inhalation - rat - 1 h - 3124 ppm(Hydrochloric acid)Skin corrosion/irritationno data available (Hydrochloric acid) Serious eye damage/eye irritation","SolubleViscosity, dynamic2.3 mPa.s at 15 Â°C (59 Â°F) 10. STABILITY AND REACTIVITYChemical stabilityStable under recommended storage conditionsConditions to avoidNo data availableMaterials to avoidBases, Amines, Alkali metals, Metals, permanganates, e.g. potassium permanganate, Fluorine, metal acetylides, hexalithium disilicideHazardous decomposition productsHazardous decomposition products formed under fire conditions. - Hydrogen chloride gas 11. TOXICOLOGICAL INFORMATIONAcute ToxicityLD50 Oral - rabbit - 900 mg/kg (Hydrochloric acid)LC50 Inhalation - rat - 1 h - 3124 ppm(Hydrochloric acid)Skin corrosion/irritationno data available (Hydrochloric acid) Serious eye damage/eye irritation",,,,FR SDS available.,SDS/Front9restoration/SDS-F9-Efflorescence-2022.pdf
GROUNDSKEEPERProduct Number:Brand: Front 9 Restoration,Front 9 Restoration,,,,P303; P330; P351; P361,,,,,not applicableIgnition temperatureno data availableLower explosion limitno data availableUpper explosion,"110Â° C (230Â° f)Flash pointnot applicableIgnition temperatureno data availableLower explosion limitno data availableUpper explosion limitno data availableVapor pressure227 hPa (170 mmHg) at 21.1 Â°C (70.0 Â°F)547 hPa (410 mmHg) at 37.7 Â°C (99.9 Â°F)Density1.2 g/cm3 at 25 Â°C (77 Â°F) Water SolubilitySolubleViscosity, dynamic2.3 mPa.s at 15 Â°C (59 Â°F) 10. STABILITY AND REACTIVITYChemical stabilityStable under recommended storage conditionsConditions to avoidNo data availableMaterials to avoidBases, Amines, Alkali metals, Metals, permanganates, e.g. potassium permanganate, Fluorine, metal acetylides, hexalithium disilicideHazardous decomposition productsHazardous decomposition products formed under fire conditions. - Hydrogen chloride gas","SolubleViscosity, dynamic2.3 mPa.s at 15 Â°C (59 Â°F) 10. STABILITY AND REACTIVITYChemical stabilityStable under recommended storage conditionsConditions to avoidNo data availableMaterials to avoidBases, Amines, Alkali metals, Metals, permanganates, e.g. potassium permanganate, Fluorine, metal acetylides, hexalithium disilicideHazardous decomposition productsHazardous decomposition products formed under fire conditions. - Hydrogen chloride gas",,,,FR SDS available.,SDS/Front9restoration/SDS-F9-Groundskeeper-2022.pdf
Break Wall,Trident,,WARNING,,,,Slight,5,1.05,"118Â° C, estimated",& Range :   100Â° C,Solubility in Water:    Dispersable,,,SDS/Tridentprotects/Trident TDS.Break Wall rev. 9.4.24.pdf,FR SDS available.,SDS/Tridentprotects/Break Wall SDS 9.24.pdf
Cyclone,Trident,,WARNING,H316; H333,,,Physical State:     Liquid / Mild,7,1,,100Â° C,Solubility in Water:    Miscible,,,SDS/Tridentprotects/Trident TDS.Cyclone rev 9.4.24.pdf,FR SDS available.,SDS/Tridentprotects/Cyclone SDS 9.24.pdf
Point Break,Trident,,WARNING,,,,Pleasant scent,,1.09,No data available,& boiling range:    > 100 Â°C (> 212 Â°F) â€“ lit.,Fully m iscible,,,SDS/Tridentprotects/Trident TDS.Point Break rev. 9.4.24.pdf,FR SDS available.,SDS/Tridentprotects/Point Break SDS 9.24.pdf
Rip Tide,Trident,,DANGER,,,,Solvent,,0.9,> 150Â° F (>66Â°C),> 340Â° F  (>171 Â°C),Nil,,,SDS/Tridentprotects/Trident TDS.Rip Tide rev 9.4.24.pdf,FR SDS available.,SDS/Tridentprotects/Rip Tide SDS 9.24.pdf
Sea Wall,Trident,,DANGER,,,,,,,". The vapo r is heavier than air, spreads",> 65Â° C (149Â° F)].,,,,SDS/Tridentprotects/Trident TDS.Sea Wall 9.24.pdf,FR SDS available.,SDS/Tridentprotects/Sea Wall SDS 9.24.pdf
Safe Harbor,Trident,,DANGER,,,,Strong solvent odor,13.8,1.13,No data available,& boiling range:    > 100 Â°C (> 212 Â°F),Slight,,,SDS/Tridentprotects/Trident TDS.Safe Harbor rev 9.4.24.pdf,FR SDS available.,SDS/Tridentprotects/Safe Harbor SDS 9.24.pdf
Tsunami,Trident,,DANGER,,,,,,,,,,,,SDS/Tridentprotects/Trident TDS.Tsunami rev. 9.4.24.pdf,FR SDS available.,SDS/Tridentprotects/Tsunami SDS 9.4.24.pdf
Typhoon,Trident,Moderately enhancing joint stabilizing sealer; semiâ€‘gloss; waterâ€‘based,,,,,Physical State:     Liquid / Mild,,0.05,Not determined,(760mmHg) :   100Â° C (212Â° F),miscible,Ready to use,80â€“120 (with joint stabilization); 150â€“250 (sealing only),SDS/Tridentprotects/Trident TDS.Typhoon rev. 9.4.24.pdf,FR SDS available.,SDS/Tridentprotects/Typhoon SDS 9.4.24.pdf
White Water,Trident,,WARNING,,,,Fresh Scent,,1.08,No data available,and boiling range :  > 212Â° F (>100Â°C),Fully Miscible,,,SDS/Tridentprotects/Trident TDS.White Water rev 9.4.24.pdf,FR SDS available.,SDS/Tridentprotects/White Water SDS 9.4.24.pdf
Barrier,Trident,,WARNING,H316; H332,,,Physical State:     Liquid / Mild,6,1,Not Determined,100Â° C estimated,Solubility in Water:    Miscible,,,,FR SDS available.,SDS/Tridentprotects/Barrier SDS 6.20.pdf
Barrier,Trident,,WARNING,H316; H332,,,Physical State:     Liquid / Mild,6,1,Not Determined,100Â° C estimated,Solubility in Water:    Miscible,,,,FR SDS available.,SDS/Tridentprotects/Barrier%20SDS%206.20.pdf
Hurricane CAT 4 Part A,Trident,,WARNING,H316; H333,,,Physical State:     Liquid / Mild,7,1,Not determined,(760mmHg) :   100Â° C (212Â° F),Solubility in Water:    Miscible,,,,FR SDS available.,SDS/Tridentprotects/Hurricane CAT 4 SDS A and B 9.24.pdf
Jetty,Trident,,,,,,Physical State:     Liquid / Mild,7,1.01,Not determined,(760mmHg) :   100Â° C (212Â° F),Miscible,,,,FR SDS available.,SDS/Tridentprotects/Jetty SDS 9.24.pdf
Paver Jointing Sand,Trident,,DANGER,,,,Revision Date:  9.4.24 / Not applicable,,0.05,Non -combustible,& Range :   Not applicable,Solubility in Water:    Insoluble,,,,FR SDS available.,SDS/Tridentprotects/Paver Jointing Sand SDS final 9.4.24.pdf
Tidal Wave,Trident,,DANGER,H226; H302; H304; H312; H315; H317; H319; H332,,,Semi -gel / Mild spicy,,1.03,Not Applicable,>212 o F,Slightly soluble,,,,FR SDS available.,SDS/Tridentprotects/Tidal Wave SDS 9.24.pdf
